"Date","Sector","CapGain"
"2023-01-30","Healthcare",-265736814.55999985
"2023-01-30","Industrials",-127117850.28000015
"2023-01-30","Real Estate",-38729127.11000002
"2023-01-30","Technology",-974980073.7799993
"2023-01-30","Utilities",-16402985.000000002
"2023-01-30","bond",-685818179.8400035
"2023-01-31","Basic Materials",261484528.31999987
"2023-01-31","Communication Services",1188152150.2800002
"2023-01-31","Consumer Cyclical",2456805526.490001
"2023-01-31","Consumer Defensive",211320348.35999995
"2023-01-31","Energy",245210544.6600003
"2023-01-31","Financial Services",547141303.4399996
"2023-01-31","Healthcare",480317946.16
"2023-01-31","Industrials",595492855.1699998
"2023-01-31","Real Estate",301215343.7400002
"2023-01-31","Technology",1662246386.530001
"2023-01-31","Utilities",86034376.9999997
"2023-01-31","bond",1483527909.0300014
"2023-02-01","Basic Materials",218880535.1899998
"2023-02-01","Communication Services",1038159648.7100008
"2023-02-01","Consumer Cyclical",3066585706.700002
"2023-02-01","Consumer Defensive",263380796.5499999
"2023-02-01","Energy",-272003148.5899998
"2023-02-01","Financial Services",704397758.8199995
"2023-02-01","Healthcare",367610219.4699998
"2023-02-01","Industrials",648041763.9499997
"2023-02-01","Real Estate",140559047.71000016
"2023-02-01","Technology",4210006527.1700006
"2023-02-01","Utilities",60689865.99999998
"2023-02-01","bond",2155262369.970002
"2023-02-02","Basic Materials",-80922346.17000003
"2023-02-02","Communication Services",1244073605.910001
"2023-02-02","Consumer Cyclical",378728974.9599994
"2023-02-02","Consumer Defensive",-18650339.639999844
"2023-02-02","Energy",-479691981.2999997
"2023-02-02","Financial Services",606221919.98
"2023-02-02","Healthcare",37653892.95999993
"2023-02-02","Industrials",349792656.34
"2023-02-02","Real Estate",302922112.9499998
"2023-02-02","Technology",2057597234.5099995
"2023-02-02","Utilities",21641130.000000015
"2023-02-02","bond",505772029.899998
"2023-02-03","Basic Materials",-100877900.97000015
"2023-02-03","Communication Services",347194952.2099993
"2023-02-03","Consumer Cyclical",1306085231.8099997
"2023-02-03","Consumer Defensive",-69973839.92999995
"2023-02-03","Energy",-123120045.46000005
"2023-02-03","Financial Services",313674140.4099996
"2023-02-03","Healthcare",-25015124.92000015
"2023-02-03","Industrials",95660420.44999973
"2023-02-03","Real Estate",-59689446.47000003
"2023-02-03","Technology",1412621189.5600004
"2023-02-03","Utilities",-105803676
"2023-02-03","bond",54111415.390005805
"2023-02-06","Basic Materials",-46938845.34999976
"2023-02-06","Communication Services",101138842.73000002
"2023-02-06","Consumer Cyclical",182888076.93
"2023-02-06","Consumer Defensive",16848501.54000013
"2023-02-06","Energy",-130557599.14999986
"2023-02-06","Financial Services",87624590.90999997
"2023-02-06","Healthcare",-182667311.6899997
"2023-02-06","Industrials",-4463856.490000098
"2023-02-06","Real Estate",33367025.459999956
"2023-02-06","Technology",-42540675.79000073
"2023-02-06","Utilities",56252611.00000006
"2023-02-06","bond",-9745378.56000419
"2023-02-07","Basic Materials",136291003.3100002
"2023-02-07","Communication Services",701218812.7399998
"2023-02-07","Consumer Cyclical",397113988.5899985
"2023-02-07","Consumer Defensive",84006741.3199998
"2023-02-07","Energy",449276351.61000013
"2023-02-07","Financial Services",473838168.64000016
"2023-02-07","Healthcare",410158639.2699999
"2023-02-07","Industrials",273923686.3699995
"2023-02-07","Real Estate",66781953.64000001
"2023-02-07","Technology",2471154058.5900035
"2023-02-07","Utilities",29478745.199999917
"2023-02-07","bond",1854936019.0700014
"2023-02-08","Basic Materials",-67349698.31000008
"2023-02-08","Communication Services",-809071000.7399989
"2023-02-08","Consumer Cyclical",527143300.3999989
"2023-02-08","Consumer Defensive",-49945789.200000264
"2023-02-08","Energy",-126607800.53999984
"2023-02-08","Financial Services",-13771195.690000057
"2023-02-08","Healthcare",-118358533.30000019
"2023-02-08","Industrials",-49943112.17000024
"2023-02-08","Real Estate",-16594820.129999988
"2023-02-08","Technology",-1639578233.309999
"2023-02-08","Utilities",-61313202.99999996
"2023-02-08","bond",-852624291.8000039
"2023-02-09","Basic Materials",-380095711.9700001
"2023-02-09","Communication Services",-2138681906.3500016
"2023-02-09","Consumer Cyclical",-1189489514.8300014
"2023-02-09","Consumer Defensive",237159686.45000017
"2023-02-09","Energy",-174488620.64000034
"2023-02-09","Financial Services",-918788167.2300003
"2023-02-09","Healthcare",-652356183.3899999
"2023-02-09","Industrials",-500100543.9399998
"2023-02-09","Real Estate",-189369619.39000013
"2023-02-09","Technology",-2225598835.96
"2023-02-09","Utilities",-110261232.0000001
"2023-02-09","bond",-1986089957.9700024
"2023-02-10","Basic Materials",61403500.31999991
"2023-02-10","Communication Services",-325683920.54999995
"2023-02-10","Consumer Cyclical",-1320037866.9200008
"2023-02-10","Consumer Defensive",83757756.41999988
"2023-02-10","Energy",475513901.61999947
"2023-02-10","Financial Services",173654126.32999966
"2023-02-10","Healthcare",92433003.65999994
"2023-02-10","Industrials",183652835.01999995
"2023-02-10","Real Estate",75359997.45
"2023-02-10","Technology",-443957508.9299997
"2023-02-10","Utilities",86806941.99999988
"2023-02-10","bond",326290864.7099985
"2023-02-13","Basic Materials",48025451.91000003
"2023-02-13","Communication Services",139096388.51000032
"2023-02-13","Consumer Cyclical",646608573.9200008
"2023-02-13","Consumer Defensive",131007705.67999978
"2023-02-13","Energy",61814633.88000004
"2023-02-13","Financial Services",287058238.46999985
"2023-02-13","Healthcare",275471596.91999966
"2023-02-13","Industrials",240419871.86000016
"2023-02-13","Real Estate",62875961.38000003
"2023-02-13","Technology",1003609288.5400003
"2023-02-13","Utilities",23741458
"2023-02-13","bond",823087950.7499983
"2023-02-14","Basic Materials",104620740.24999994
"2023-02-14","Communication Services",203283377.54000002
"2023-02-14","Consumer Cyclical",4297496740.530001
"2023-02-14","Consumer Defensive",-58129932.28999985
"2023-02-14","Energy",200482200.0500001
"2023-02-14","Financial Services",50519066.59999997
"2023-02-14","Healthcare",-20710010.930000167
"2023-02-14","Industrials",120073106.21000005
"2023-02-14","Real Estate",-29813427.279999927
"2023-02-14","Technology",2624228634.84
"2023-02-14","Utilities",-20250188.999999892
"2023-02-14","bond",708856678.0599982
"2023-02-15","Basic Materials",150891297.0099999
"2023-02-15","Communication Services",826061794.6500003
"2023-02-15","Consumer Cyclical",1455401641.7800028
"2023-02-15","Consumer Defensive",122590879.74999976
"2023-02-15","Energy",-175342003.07000038
"2023-02-15","Financial Services",673779652.5199999
"2023-02-15","Healthcare",196329523.07000017
"2023-02-15","Industrials",427133759.56999993
"2023-02-15","Real Estate",130346470.30999997
"2023-02-15","Technology",1921526552.7899995
"2023-02-15","Utilities",74069927.99999987
"2023-02-15","bond",906549419.5100019
"2023-02-16","Basic Materials",122809394.19999996
"2023-02-16","Communication Services",144369170.39999947
"2023-02-16","Consumer Cyclical",-2025738674.320002
"2023-02-16","Consumer Defensive",38488530.23000021
"2023-02-16","Energy",-70377246.76999988
"2023-02-16","Financial Services",-45711018.69000006
"2023-02-16","Healthcare",26494692.960000258
"2023-02-16","Industrials",155277009.58000016
"2023-02-16","Real Estate",43600088.16000007
"2023-02-16","Technology",-539122297.5999997
"2023-02-16","Utilities",15971761.999999968
"2023-02-16","bond",-170972452.29000285
"2023-02-17","Basic Materials",-211628600.6700002
"2023-02-17","Communication Services",-238181079.40000024
"2023-02-17","Consumer Cyclical",1699364258.2899985
"2023-02-17","Consumer Defensive",146095721.86999977
"2023-02-17","Energy",-516579784.07999945
"2023-02-17","Financial Services",82283159.38000043
"2023-02-17","Healthcare",366825918.17999965
"2023-02-17","Industrials",174797779.9600003
"2023-02-17","Real Estate",-38606884.499999896
"2023-02-17","Technology",-675191202.4899986
"2023-02-17","Utilities",69815558.99999997
"2023-02-17","bond",263874057.9700002
"2023-02-21","Basic Materials",-199685841.07
"2023-02-21","Communication Services",-354848704.9899994
"2023-02-21","Consumer Cyclical",-2209380637.7600017
"2023-02-21","Consumer Defensive",23003125.88999996
"2023-02-21","Energy",-106192999.33
"2023-02-21","Financial Services",-368446729.8399998
"2023-02-21","Healthcare",-520937665.7799995
"2023-02-21","Industrials",-538475757.0099998
"2023-02-21","Real Estate",-111357376.10000007
"2023-02-21","Technology",-1100085861.2600002
"2023-02-21","Utilities",-75253000.99999999
"2023-02-21","bond",-1269409773.100003
"2023-02-22","Basic Materials",12735500.209999774
"2023-02-22","Communication Services",-136660556.75999978
"2023-02-22","Consumer Cyclical",685363719.8600023
"2023-02-22","Consumer Defensive",-44841522.58999994
"2023-02-22","Energy",-85139674.8
"2023-02-22","Financial Services",-69056702.0799999
"2023-02-22","Healthcare",-51163160.75999996
"2023-02-22","Industrials",76382739.53
"2023-02-22","Real Estate",-110446467.37000003
"2023-02-22","Technology",-24485284.36000163
"2023-02-22","Utilities",-1844586.0000001378
"2023-02-22","bond",-211255201.15999603
"2023-02-23","Basic Materials",2749120.630000033
"2023-02-23","Communication Services",-315541321.42000085
"2023-02-23","Consumer Cyclical",-967637180.9900012
"2023-02-23","Consumer Defensive",-31043203.939999823
"2023-02-23","Energy",61459233.159999974
"2023-02-23","Financial Services",-132484186.73000014
"2023-02-23","Healthcare",72578018.69999966
"2023-02-23","Industrials",-309104894.5500001
"2023-02-23","Real Estate",-39403411.51999998
"2023-02-23","Technology",-226249554.84000093
"2023-02-23","Utilities",-49817614.00000006
"2023-02-23","bond",-271947330.9200002
"2023-02-24","Basic Materials",452105963.2700008
"2023-02-24","Communication Services",-32257766.680000234
"2023-02-24","Consumer Cyclical",23750399.56999787
"2023-02-24","Consumer Defensive",4593277.649999837
"2023-02-24","Energy",343472534.46
"2023-02-24","Financial Services",155279481.57999992
"2023-02-24","Healthcare",-182613321.23000026
"2023-02-24","Industrials",48865953.2300002
"2023-02-24","Real Estate",-65385880.199999906
"2023-02-24","Technology",-96839026.26999965
"2023-02-24","Utilities",58949374.99999997
"2023-02-24","bond",259593323.19000024
"2023-02-27","Basic Materials",27909715.670000076
"2023-02-27","Communication Services",93028303.78999971
"2023-02-27","Consumer Cyclical",783371208.4799994
"2023-02-27","Consumer Defensive",-83796831.15000038
"2023-02-27","Energy",30748380.929999966
"2023-02-27","Financial Services",-211366273.2199999
"2023-02-27","Healthcare",-243430175.89999995
"2023-02-27","Industrials",-104966697.89000028
"2023-02-27","Real Estate",-109669625.77
"2023-02-27","Technology",-486375965.3500017
"2023-02-27","Utilities",-66269910.99999998
"2023-02-27","bond",-417024395.78999925
"2023-02-28","Basic Materials",85030547.91000012
"2023-02-28","Communication Services",88598204.20999923
"2023-02-28","Consumer Cyclical",-583012726.6699985
"2023-02-28","Consumer Defensive",-79700667.19999987
"2023-02-28","Energy",-523547732.6999996
"2023-02-28","Financial Services",47826580.50999986
"2023-02-28","Healthcare",-67871232.98000003
"2023-02-28","Industrials",13327733.50999986
"2023-02-28","Real Estate",-29928723.690000005
"2023-02-28","Technology",172478163.1799985
"2023-02-28","Utilities",-160111950.00000018
"2023-02-28","bond",-145596070.9700024
"2023-03-01","Basic Materials",75018688.24999999
"2023-03-01","Communication Services",-165639925.89000055
"2023-03-01","Consumer Cyclical",-1231452512.8299992
"2023-03-01","Consumer Defensive",-36400937.83000015
"2023-03-01","Energy",374115306.6400002
"2023-03-01","Financial Services",70316024.15000048
"2023-03-01","Healthcare",183154713.78999984
"2023-03-01","Industrials",122239575.71000005
"2023-03-01","Real Estate",-74125040.11000004
"2023-03-01","Technology",-366639096.46
"2023-03-01","Utilities",-68421648.00000007
"2023-03-01","bond",-195494160.2800027
"2023-03-02","Basic Materials",227836807.72999993
"2023-03-02","Communication Services",500796421.8600003
"2023-03-02","Consumer Cyclical",1365481297.6999998
"2023-03-02","Consumer Defensive",252386121.58999965
"2023-03-02","Energy",261761790.1000002
"2023-03-02","Financial Services",60677968.15000002
"2023-03-02","Healthcare",275762595.84
"2023-03-02","Industrials",386230879.32000023
"2023-03-02","Real Estate",155318670.37999997
"2023-03-02","Technology",1280906182.3200004
"2023-03-02","Utilities",122042737.99999994
"2023-03-02","bond",1265626811.6899977
"2023-03-03","Basic Materials",122583063.88000008
"2023-03-03","Communication Services",514708939.7800006
"2023-03-03","Consumer Cyclical",959559824.2599976
"2023-03-03","Consumer Defensive",147264851.7699999
"2023-03-03","Energy",466635347.7600001
"2023-03-03","Financial Services",378339022.8700002
"2023-03-03","Healthcare",372671473.54000014
"2023-03-03","Industrials",223929473.64000016
"2023-03-03","Real Estate",55081209.12999989
"2023-03-03","Technology",1791709912.5600007
"2023-03-03","Utilities",92292097.99999999
"2023-03-03","bond",1394149192.5800018
"2023-03-06","Basic Materials",-168041579.14000016
"2023-03-06","Communication Services",-104039454.62999994
"2023-03-06","Consumer Cyclical",-1018806169.7299987
"2023-03-06","Consumer Defensive",-5221046.949999993
"2023-03-06","Energy",4103264.420000023
"2023-03-06","Financial Services",-95732966.78999992
"2023-03-06","Healthcare",-222445317.84999996
"2023-03-06","Industrials",-175808870.83999994
"2023-03-06","Real Estate",-56531923.940000005
"2023-03-06","Technology",-631267670.0399984
"2023-03-06","Utilities",66266472.99999994
"2023-03-06","bond",-456213762.44000036
"2023-03-07","Basic Materials",-258879516.04000002
"2023-03-07","Communication Services",-349853755.0700004
"2023-03-07","Consumer Cyclical",-382768749.92999786
"2023-03-07","Consumer Defensive",-126083212.41000032
"2023-03-07","Energy",-183116235.69999972
"2023-03-07","Financial Services",-694958164.7699997
"2023-03-07","Healthcare",-364980706.1299998
"2023-03-07","Industrials",-276868917.1399998
"2023-03-07","Real Estate",-194878843.70000008
"2023-03-07","Technology",-769938643.1599998
"2023-03-07","Utilities",-85036648.99999997
"2023-03-07","bond",-1842012875.5100045
"2023-03-08","Basic Materials",24284104.760000013
"2023-03-08","Communication Services",8772721.479999809
"2023-03-08","Consumer Cyclical",-391948321.85999846
"2023-03-08","Consumer Defensive",54204651.53999999
"2023-03-08","Energy",-118432853.32999992
"2023-03-08","Financial Services",-41690502.0599998
"2023-03-08","Healthcare",-129934217.37999964
"2023-03-08","Industrials",71361945.99000007
"2023-03-08","Real Estate",74375505.66000007
"2023-03-08","Technology",772427959.4899993
"2023-03-08","Utilities",38193630.00000004
"2023-03-08","bond",32150214.060001872
"2023-03-09","Basic Materials",-288828610.12999994
"2023-03-09","Communication Services",-674086762.3600001
"2023-03-09","Consumer Cyclical",-2318282548.6400023
"2023-03-09","Consumer Defensive",-200972384.1400002
"2023-03-09","Energy",-433013853.91
"2023-03-09","Financial Services",-1968920168.069999
"2023-03-09","Healthcare",-521077968.28999925
"2023-03-09","Industrials",-481245573.1999995
"2023-03-09","Real Estate",-243743924.92999998
"2023-03-09","Technology",-1812807782.6799998
"2023-03-09","Utilities",-69327440.99999993
"2023-03-09","bond",-2893306823.8399954
"2023-03-10","Basic Materials",-335514108.12
"2023-03-10","Communication Services",-352992149.78000003
"2023-03-10","Consumer Cyclical",-1105673893.0399997
"2023-03-10","Consumer Defensive",-116478348.61000015
"2023-03-10","Energy",-294494620.1800002
"2023-03-10","Financial Services",-1504604430.39
"2023-03-10","Healthcare",-592533638.3700006
"2023-03-10","Industrials",-861218999.8400004
"2023-03-10","Real Estate",-467692331.9099999
"2023-03-10","Technology",-2304417268.950001
"2023-03-10","Utilities",-137830930.9999998
"2023-03-10","bond",-2465367591.119993
"2023-03-13","Basic Materials",97622092.96999992
"2023-03-13","Communication Services",296929013.0999998
"2023-03-13","Consumer Cyclical",1501253306.509997
"2023-03-13","Consumer Defensive",104615425.15000041
"2023-03-13","Energy",37609814.17000026
"2023-03-13","Financial Services",212243983.27999896
"2023-03-13","Healthcare",661411532.0400001
"2023-03-13","Industrials",-4685042.4800001625
"2023-03-13","Real Estate",198374760.22000012
"2023-03-13","Technology",1050982867.2599984
"2023-03-13","Utilities",132348291
"2023-03-13","bond",1171130157.3800004
"2023-03-14","Basic Materials",-83476463.25000018
"2023-03-14","Communication Services",286407610.4799999
"2023-03-14","Consumer Cyclical",521910831.8599981
"2023-03-14","Consumer Defensive",190832751.00999996
"2023-03-14","Energy",38343563.56000006
"2023-03-14","Financial Services",-2544835304.12
"2023-03-14","Healthcare",125841187.9099997
"2023-03-14","Industrials",-210605541.63000014
"2023-03-14","Real Estate",-164478933.95999992
"2023-03-14","Technology",888273904.1300002
"2023-03-14","Utilities",34794092.00000008
"2023-03-14","bond",-229477149.32999605
"2023-03-15","Basic Materials",-312995834.7399998
"2023-03-15","Communication Services",716082150.3000004
"2023-03-15","Consumer Cyclical",460875011.1599972
"2023-03-15","Consumer Defensive",232782327.47000033
"2023-03-15","Energy",-613592251.8999999
"2023-03-15","Financial Services",828268724.9400005
"2023-03-15","Healthcare",284451427.9000003
"2023-03-15","Industrials",-355666740.29999924
"2023-03-15","Real Estate",126419708.5300001
"2023-03-15","Technology",1179463773.0600007
"2023-03-15","Utilities",118424521.99999985
"2023-03-15","bond",1284900969.77
"2023-03-16","Basic Materials",256134978.69000003
"2023-03-16","Communication Services",1227755799.4699998
"2023-03-16","Consumer Cyclical",1644958691.08
"2023-03-16","Consumer Defensive",26267901.569999684
"2023-03-16","Energy",852066897.4600002
"2023-03-16","Financial Services",1873148547.1899998
"2023-03-16","Healthcare",617831456.7100002
"2023-03-16","Industrials",702153000.2499996
"2023-03-16","Real Estate",44920927.16000009
"2023-03-16","Technology",4082598825.5299983
"2023-03-16","Utilities",93401526.00000009
"2023-03-16","bond",3967694625.3100038
"2023-03-17","Basic Materials",-91905691.91999957
"2023-03-17","Communication Services",-138532624.0100004
"2023-03-17","Consumer Cyclical",-1385719416.2100017
"2023-03-17","Consumer Defensive",-310596183.36999875
"2023-03-17","Energy",-555303507.2299993
"2023-03-17","Financial Services",-2147689199.9500003
"2023-03-17","Healthcare",-855336257.8599999
"2023-03-17","Industrials",-1163363571.6
"2023-03-17","Real Estate",-497494082.6100002
"2023-03-17","Technology",-1133071854.679998
"2023-03-17","Utilities",-107719356.99999999
"2023-03-17","bond",-1475313971.5500028
"2023-03-20","Basic Materials",85409184.0799999
"2023-03-20","Communication Services",187904539.0100003
